,headline,news_category,org
839,"Ola-Uber challenger Namma Yatri pilots auto, cab rentals ",NaN, Moneycontrol
840,M&M and JSW Group Vie For Slice Of Skoda India Business As Czech Carmaker Eyes Profit Boost: Report ,NaN, Benzinga India
841,Why Quant Mutual Fund needs to communicate better with its investors ,NaN, freefincal on YouTube
842,"End of an Era: Citi Gone, Axis On ",NaN, Live From A Lounge
843,"Q1 results FY25 this week: Jio Financial, Infosys, Tata companies among 194 firms to report quarterly earnings – LIST ",NaN, ET Now
844,CA mocks Narayana Murthy’s ‘work 70 hours’ advice to youngsters: ‘Ask Infosys team to run income tax portal smoothly…’ ,Company Business News,Mint
845,Suzlon Energy shares see a sharp spike towards the close of trade; Here's why ,NaN, CNBCTV18
846,Watch out for these Penny Stocks locked in the upper circuit on July 15 ,NaN, Dalal Street Investment Journal
847,Govt Unlikely To Roll Out Another Round Of Semiconductor Subsidy This Year Even Though $10B Scheme Dries Up: Report ,NaN, Benzinga India
848,Whistleblowers accuse OpenAI of ‘illegally restrictive’ NDAs ,NaN, TechCrunch
849,Indian AC industry likely to double in value over next 4 years: Blue Star ,NaN, Hindustan Times
850,"Sahaj Solar IPO Receives 506.77x Subscription on Day 3, Check GMP Today ",NaN, News18
851,Stock to buy before Budget 2024: Anil Singhvi picks this PSU stock for up to 47% gains; check details ,NaN, Zee Business
852,Jio Financial Services Q1 results today: Shares climb ahead of announcement ,NaN, The Economic Times
853,Adani eyes Jaypee cement assets through IBC ,NaN, Moneycontrol
854,"RBI issues fresh circular to all banks, HFCs on classifying accounts as fraud ",NaN, Moneycontrol
855,"Treasuries slip, dollar firm as markets grapple with US politics By Reuters ",NaN, Investing.com
856,HUL to sell Pureit to AO Smith India for Rs 600 crore ,NaN, The Economic Times
857,"HDFC AMC Q1 Result: Net profit surges 26% on year to ₹604 crore, revenue up 35% ",Company Business News,Mint
858,"Linking variable pay to office attendance not to punish employees, is temporary measure, says TCS HR chief ",NaN, Moneycontrol
859,Google Could Be Teeing Up Its Largest Acquisition Ever ,NaN, Investopedia
860,All You Need To Know About FII Positions Going Into Trade On July 15 ,NaN, NDTV Profit
861,"Stocks To Buy Today, Share Price Target: Indian Oil, LIC, HCL Tech, Ambuja Cements, ACC, Grasim Industries, Safari Industries and more ",NaN, ET Now
862,"Jio Financial Services Q1 Results: Cons PAT falls 6% YoY to Rs 313 crore, revenue up 1% ",NaN, The Economic Times
863,"SpiceJet net loss at ₹423 crore for FY24, vs net loss of ₹1,513 crore in FY23 ",Company Business News,Mint
864,"Vodafone Idea seeks urgent listing of curative plea on AGR dues, CJI to take a call ",NaN, Moneycontrol
865,Defaulting borrowers should be heard before being declared 'fraud': RBI ,NaN, The Times of India
866,"Upcoming Skoda Small SUV Teased Again - Sub 4m Nexon, Brezza Rival ",NaN, RushLane
867,Swiggy-Zomato platform fee hike: Deepak Shenoy says ‘happy to learn that I have reduced this ordering…’ ,Company Business News,Mint
868,Tata Steel says no change in UK strategy despite new government ,NaN, Moneycontrol
869,"Ahead of IPO, Swiggy rolls out ESOP liquidity program worth $65 Mn ",NaN, Entrackr
870,RVNL Bags LoA For A ₹160 Cr Order From East Coast Railways ,NaN, Benzinga India
871,"HDFC AMC Sees Profit Jump 26% To ₹604, Revenue Up 35% ",NaN, Benzinga India
872,Mahindra Thar Armada spotted undisguised for the first time ,NaN, HT Auto
873,"BluSmart raises $24 million from MS Dhoni Family Office, ReNew Power CEO Sumant Sinha ",NaN, Moneycontrol
874,Royal Enfield Guerrilla 450 spotted undisguised at service centre ,NaN, The Financial Express
875,"Corporate actions this week: Stock splits, rights issue, dividends and more ",NaN, Upstox
876,"Stocks To Watch: DMart, HCLTech, HDFC AMC, HDFC Life, IREDA ",NaN, NDTV Profit
877,"Exclusive: Unacademy COO Jagnoor Singh Quits, Gaurav Munjal & Sumit Jain To Take Charge ",NaN, Inc42 Media
878,"Top 5 large-cap SIP mutual funds in 10 years: No. 1 fund has turned Rs 15,000 monthly SIP into over Rs 50 l... ",NaN, Zee Business
879,"Worldwide Smartphone Market Grew 6.5% in the Second Quarter of 2024 as Momentum Continues to Build, According to IDC Tracker ",NaN, IDC
880,"Jio Financial Services Q1 Results: Cons PAT falls 6% YoY to Rs 313 crore, revenue up 1% ",NaN, The Economic Times
881,CJI agrees to consider listing plea by Vodafone-Idea to correct computational errors in Adjusted Gross Revenue dues ,NaN, The Hindu
882,Wall Street gains as investors bet on second Trump term By Reuters ,NaN, Investing.com
883,SpiceJet Results: Budget carrier posts Rs 127 crore profit in Q4 versus loss a year ago ,NaN, The Economic Times
884,Blusmart Bags $24 Million In Funding From MS Dhoni Family Office And Renew Power CEO ,NaN, Benzinga India
885,SBI raises lending rates by 5-10 bps across most tenures ,NaN, Moneycontrol
886,"Market Trading Guide: Vedanta, Varun Beverages among 5 stock recommendations for Tuesday ",NaN, The Economic Times
887,Gold Price Update: September Rate Cut Reawakens Gold Bulls ,NaN, DailyFX
888,"Upcoming IPO July 2024: Rs 90-95 price band, Rs 510 cr size - New issue opening soon! Allotment, listing date ",NaN, ET Now
889,Paytm gets SEBI warning over related party transactions with payments bank ,NaN, The Economic Times
890,"Stocks to watch, July 16: Vedanta, HUL, Lupin, SpiceJet, Jio Fin Services ",NaN, Business Standard
891,"Q1 results today: Bajaj Auto, L&T Finance, Network18 among 25 companies to announce earnings on July 16 ",Company Business News,Mint
892,Google backs Indian open-source Uber rival ,NaN, TechCrunch
893,NIFTY50 hits new all-time peak as ICICI Bank and Bharti Airtel lead ,NaN, Upstox
894,Jio Financial Shares Slip 2% After Q1 Print ,NaN, Benzinga India
895,"Brokerages bullish on HDFC Life's strong Q1 results, see room for margin, VNB growth ",NaN, Moneycontrol
896,"Public Holiday: Big News! Banks and government offices will remain closed in these states on July 17, Chec ... ",NaN, informalnewz
897,"Vedanta launches QIP, floor price set at ₹461.26 per share ",NaN, Upstox
898,Railway stocks rally on hopes of increased budgetary allocation ,NaN, Moneycontrol
899,Century Textiles stock soars over 8% after unit secures prime land parcel in Gurugram ,Stock Market News,Mint
900,"Stock market today: GNFC, India Cements, Indus Towers among 8 stocks in F&O ban list on July 16 ",Stock Market News,Mint
901,"Before IPO, Swiggy starts $65-mn ESOP sale at $9-bn+ valuation ",NaN, The Arc
902,Stock Market Today: Dow in record close as Powell acknowledges inflation progress ,NaN, Investing.com India
903,Hyundai Exter Hy-CNG Duo Launched With Twin-Cylinder Tech - Starts Rs 8.5L ,NaN, RushLane
904,Ashok Leyland bags single largest order for Viking bus from MSRTC for ₹982 cr. ,NaN, The Hindu
905,Suzlon To Report Q1 Earnings On July 22 ,NaN, Benzinga India
906,"Hot Stocks: Brokerage view on Bharti Hexacom, Vodafone Idea, Apollo Tyres, HDFC Life and Varun Beverages ",NaN, The Economic Times
907,"600% dividend stock: Record date announced in Q1 quarterly results FY25 – Amount, payment date ",NaN, ET Now
908,"MS Dhoni, ReNew Power, existing investors back EV ride-hailing company BluSmart with $24 million in pre-Series B funding ",Company Business News,Mint
909,Trade setup for 16 July: Will BANK NIFTY break out of its seven-day consolidation ,NaN, Upstox
910,"Hero MotoCorp, Nestle, UltraTech Cement, NTPC and more: Axis Securities lists top stock picks for Union Budget 2024 ",Stock Market News,Mint
911,"RBI issues new circular, says lenders must hear loan defaulters before declaring accounts 'fraud' ",NaN, The Economic Times
912,"Gold, silver price today, July 15, 2024: Precious metals witness dip on MCX ",NaN, India Today
913,"Zee Entertainment gets shareholders' nod to raise upto Rs 2,000 crore via issue of securities ",NaN, The Economic Times
914,Reduce HCL Technologies; target of Rs 1455: ICICI Securities ,NaN, Moneycontrol
915,"Zomato mcap reaches Rs 2 trn, delivers Deepinder Goyal billionaire tag ",NaN, Business Standard
916,Camlin’s Subhash Dandekar passes away at 81 ,NaN, BusinessLine
917,"Big movers on D-Street: What should investors do with RailTel, Axis Bank and HCL Tech? ",NaN, The Economic Times
918,"Macobs Technologies IPO opens today: Check timeline, price band and other key details ",NaN, Upstox
919,Kataria Industries IPO opens today: All you need to know before subscribing to the issue ,NaN, Upstox
920,"Amazon Prime Day Sale 2024: iPhone 13 for ₹47,999, iQOO Neo 9 Pro at ₹29,999 and other top deals you should know ",NaN,Mint
921,"US back-to-school spending to remain muted in 2024, Deloitte says By Reuters ",NaN, Investing.com
922,NLC India bags Odisha coal mine with 1.38 billion tonnes capacity ,NaN, Business Standard
923,Gold rises as Powell hints at cuts before 2% inflation goal ,NaN, FXStreet
924,"Varun Beverages to set up production units for PepsiCo in Zimbabwe, Zambia ",NaN, Business Standard
925,Stocks to buy or sell: HBL Power to Birla Cable — Sumeet Bagadia recommends five breakout stocks today ,Stock Market News,Mint
926,Oil prices ease on demand concerns in China By Reuters ,NaN, Investing.com
927,TCS HR boss on linking variable pay to work from office: Not to punish employees ,NaN, Hindustan Times
928,Samsung had a hilarious response to Apple opening its first store in Malaysia. Here’s what it did ,NaN, Hindustan Times
929,"Among my students, Manmohan Singh was least likely to become PM: Amartya Sen ",NaN, The Times of India
930,Stock Market Today: All You Need To Know Going Into Trade On July 16 ,NaN, NDTV Profit
931,SJVN Invites Bids for 1.2 GW ISTS-Connected Wind-Solar Hybrid Projects ,NaN, Mercom India
932,"Coal India shares get their first price target above ₹600 on strong balance sheet, dividend yield ",NaN, CNBCTV18
933,Alphabet Said in Talks to Buy Cybersecurity Startup Wiz ,NaN, Bloomberg Television
934,Govt unlikely to launch a second semiconductor subsidy scheme this year ,NaN, Moneycontrol
935,"Budget 2024: Allocation to gold, 10-20% cash to buy on dips - smallcase managers reveal portfolio strategy for budget ",Stock Market News,Mint
936,"These 6 commodities stocks hit 52-week highs, rallied up to 40% in a month ",NaN, The Economic Times
937,"Liquor home delivery: Swiggy, Zomato, BigBasket to restart what they did during COVID-19 lockdown days, says report ",Company Business News,Mint
938,Wall Street today: US stocks gain after Donald Trump survives assassination attempt ,Stock Market News,Mint
939,Quant MF's Sandeep Tandon | 'Continue Efforts To Create Wealth For Investors' ,ET Now Exclusive,ET NOW
940,Bajaj Auto Shares In Green Ahead Of Q1 Results: Here's What To Expect ,NaN, Benzinga India
941,Loan default: NCLT declares GVK power & infra bankrupt ,NaN, The Times of India
942,IREDA share price dips 5% as Philip Capital slaps 'sell' tag. Opportunity for bottom fishing? ,Stock Market News,Mint
943,"L&T, Tata Tech among 7 stocks to bet on ahead of Union Budget ",NaN, The Economic Times
944,Jio Financial Services Q1 Results Live : profit rise by 3354.67% YOY ,Company Business News,Mint
945,NCLT admits BCCI’s plea seeking insolvency proceedings against Byju’s ,NaN, The Indian Express
946,Muharram: Public holiday in Kerala tomorrow | Onmanorama Muharram 2024 Kerala ,Muharram Holiday Kerala,Onmanorama
947,Vodafone Idea shares jump nearly 6% as SC agrees to consider plea on AGR dues ,NaN, The Economic Times
948,India’s IT sector to ramp up hiring amid rising demand for services ,NaN, BusinessLine
949,"Gold sticks to intraday gains, bulls seem non-committed amid risk-on/USD uptick ",NaN, FXStreet
950,AO Smith buys HUL's Pureit business in India for ₹601 crore ,Company Business News,Mint
951,MTNL interest obligations on bonds to be honoured by government: Sources ,NaN, CNBCTV18
952,IOC's green hydrogen project sees sparse bids amidst industry concerns: Report ,NaN, Moneycontrol
953,"Zomato's M-Cap Surges To ₹2 Lakh Cr, Now More Valuable Than Tech Mahindra, Tata Consumer ",NaN, Benzinga India
954,"Sembcorp Industries sets ball rolling for Rs 36,000 crore TN project ",NaN, Business Standard
955,"Bajaj Auto Q1 Results: Cons PAT jumps 18% YoY to Rs 1,942 crore, revenue rises 16% ",NaN, The Economic Times
956,Hindustan Unilever Shares Gain On Sale Of Pureit Business ,NaN, Benzinga India
957,"Byju's Crisis: NCLT admits BCCI's petition seeking insolvency proceedings, cricketing body aims to recover ₹158 crore ",Company Business News,Mint
958,"Job Alert: Elon Mask announces Tesla, xAI are looking to hire networking engineers, technicians ",Company Business News,Mint
959,Budget 24 Trading Strategy: Three stocks that have the perfect pitch for trading on Budget Day ,NaN, Moneycontrol
960,Jio Financial Q1 Results: Profit Stays Flat On Lower Interest Income ,NaN, NDTV Profit
961,HDFC Life Q1 Results: Net profit rises 15% YoY to Rs 477 crore ,NaN, The Economic Times
962,"Bill Gates-backed startup makes butter out of air, claims it tastes really good: 'Like the real thing' ",NaN, Moneycontrol
963,"Swiggy, Zomato hike platform fees; online food delivery to cost more ",NaN, The Hindu
964,Why Tata Motors Shares Shot Up Sharply On Tuesday ,NaN, Benzinga India
965,"SBI Amrit Kalash FD: SBI FD that offers highest interest rate; know return values of Rs 5 lakh, Rs 10 lakh... ",NaN, Zee Business
966,Exclusive! Tata Curvv EV unofficial bookings open ,NaN, CarWale
967,Tata Steel Q1 PAT seen up 37.7% YoY to Rs. 870 cr: Prabhudas Lilladher ,NaN, Moneycontrol
968,"Muharram bank holiday July 2024: Banks in these states will be closed on Wednesday, July 17 ",NaN, The Economic Times
969,Dolly Khanna portfolio: Multibagger stock Chennai Petroleum Corporation hits record high logging 14% intraday rally ,Stock Market News,Mint
970,Gold Rate Today Falls In India: Check 22 Carat Price In Your City On July 15 ,NaN, News18
971,SpiceJet shares up over 8 percent in anticipation of much-delayed financial results ,NaN, Moneycontrol
972,"Infosys Q1 Earnings Preview: Revenue, margin may return to growth, but net profit set to fall from... ",NaN, Moneycontrol
973,"Brokerages Impressed With HDFC AMC's Q1 Show, Maintain 'Buy' ",NaN, Benzinga India
974,"Big movers on D-Street: What should investors do with Aurobindo Pharma, Tanla Platforms and IDBI Bank? ",NaN, The Economic Times
975,Mahindra Thar 5-Door Wheels On 3-Door Model - Aftermarket Fitment Before Launch ,NaN, RushLane
976,Gujarati family takes 73-year-old car on road trip from Ahmedabad to London. Watch ,NaN, Hindustan Times
977,"Amazon Prime Day deals revealed: Big discount on iPhone 13, OnePlus Nord CE 4, Poco M6, and more ",NaN, India Today
978,"‘Godman’ builds temple at 16k feet on Uttarakhand glacier, probe on ",NaN, The Times of India
979,"Bajaj Auto, Asian Paints, VBL: Top picks by Jigar S Patel of Anand Rathi ",NaN, Business Standard
980,Law tribunal admits BCCI's plea seeking insolvency process against Byju's ,NaN, The Times of India
981,Bank Holiday on July 16: Are banks closed today for Harela? Check details here ,NaN,Mint
982,"Bajaj Auto Q1 Results: Cons PAT jumps 18% YoY to Rs 1,942 crore, revenue rises 16% ",NaN, The Economic Times
983,Elon Musk claims X recorded ‘all-time high’ of 417 billion user seconds globally on platform on July 15 ,Company Business News,Mint
984,"Vedanta Shares — What lies ahead for Anil Agarwal's firm post ~₹7,000 crore QIP ",NaN, CNBCTV18
985,"Sahaj Solar IPO allotment likely to be fixed today. Latest GMP, steps to check allotment status ",Stock Market News,Mint
986,"Swiggy, Zomato may start alcohol delivery in some states: Report ",NaN, India Today
987,"CESC Subsidiary Purvah Green To Supply, Maintain Wind Turbines For Suzlon Energy ",NaN, NDTV Profit
988,Here's why RVNL shares are falling in trade today; Details here ,NaN, Business Standard
989,"ICICI Sec Upbeat About Defence Stocks, Picks Private Players Over PSUs ",NaN, Benzinga India
990,Ethereum ETF Launch Date Confirmed: SEC Greenlights Trading for July 23 ,NaN, Coinpedia Fintech News
991,"Byju’s, once valued at $22 billion, faces insolvency proceedings ",NaN, TechCrunch
992,Gold and silver prices today on 16-07-2024: Check latest rates in your city ,Stock Market News,Mint
993,"Kerala likely to launch online alcohol delivery via Swiggy, Zomato | Onmanorama News ",Kerala News,Onmanorama
994,Paytm gets warning from Sebi for old transactions with banking unit ,NaN, Business Standard
995,Wednesday Bank Holiday: Banks will remain closed on Wednesday too! Know why RBI has given holiday to all banks ,NaN, informalnewz
996,Shocking Twist To Hybrid Car Price Drop: Union Govt Vs State Govt ,NaN, CarToq.com
997,"Gold (XAU/USD) - Ready to Print a New All-Time High, Latest Sentiment Analysis ",NaN, DailyFX
998,Garden Reach Shipbuilders Shares Jump 3% After Bagging ₹840 Cr Order ,NaN, Benzinga India
999,Buy Varun Beverages; target of Rs 1900: Motilal Oswal ,NaN, Moneycontrol
1000,"Indian stock market: 7 key things that changed for market overnight - Gift Nifty, Dow Jones record close to oil prices ",Stock Market News,Mint
1001,"Kia EV6 Recalled In India Affecting 1,138 Units - Same Reason As Ioniq 5 ",NaN, RushLane
1002,Despite filing ITR successfully tax refund may not be credited into your bank account due to this issue ,NaN, The Economic Times
1003,Adani Looks To Add Insolvent Jaypee Group Assets To Arsenal Amid War For Cement Market Share: Report ,NaN, Benzinga India
1004,India’s IT sector to ramp up hiring amid rising demand for services ,NaN, BusinessLine
1005,"Angel One stock gains after profit, revenue grows in Q1FY25 ",NaN, Moneycontrol
1006,Rs 1.8 lakh crore boom! Will defence stocks live up to Budget hype? ,NaN, The Economic Times
1007,Camlin founder Subhash Dandekar dies ,NaN, The Economic Times
1008,Sebi invites comments on proposal for new asset class bridging between mutual funds and PMS ,Stock Market News,Mint
1009,"FAME 3 scheme in final stages, unlikely to be in budget, says Heavy Industries Minister ",NaN, Autocar Professional
1010,L&T Finance Q1 Results: Net profit rises 29% at ₹686 crore ,Company Business News,Mint
1011,"Budget 2024: Ashok Leyland, Siemens, Ultratech Cement, NCC among top 13 budget picks by Anand Rathi ",Stock Market News,Mint
1012,Tata Curvv And Curvv EV To Debut On This Date ,NaN, CarDekho
1013,"Gold (XAU/USD) - Ready to Print a New All-Time High, Latest Sentiment Analysis ",NaN, DailyFX
1014,Staying with quality pays in long term wealth creation: 5 midcap stocks from different sectors with potent ,NaN, The Economic Times
1015,"Several states including Delhi, Karnataka, Tamil Nadu may get liquor home delivery: Report ",NaN, The Times of India
1016,Bharti Airtel Foundation announces ₹100 crore scholarship for tech students ,Company Business News,Mint
1017,How To Check Sahaj Solar IPO Allotment Status ,NaN, Benzinga India
1018,"Wall Street today: US stocks edge higher after strong retail sales data, robust earnings ",Stock Market News,Mint
1019,"UP caps incentive for electric cars, revised notification deepens suspense over hybrids ",NaN, The Economic Times
1020,"TCS HR chief Milind Lakkad says linking variable pay with bonus not to punish staff, aimed to boost ‘return to office’ ",NaN, Mint
1021,Union Budget 2024: Overseas credit card spending above ₹7 lakh may be taxed 20% ,NaN, Hindustan Times
1022,"Sectoral, thematic funds catching investor fancy ",NaN, The Financial Express
1023,"Swiggy, Zomato Might Soon Deliver Alcohol In These States: Report ",NaN, NDTV
1024,Ola Electric IPO pricing likely at about 25% lower than private valuation of $5.4 billion: sources ,NaN, The Economic Times
1025,IMF raises India's GDP forecast to 7% for 2024-25 ,NaN, The Times of India
1026,"Subhash Dandekar, founder of Camlin, is no more ",NaN, Hindustan Times
1027,"Bank of Baroda, Bank of Maharashtra launch special fixed deposit schemes. Details here ",NaN,Mint
1028,"Breaking: Gold hits record high as rate cut hopes surge, XAU/USD breaches $2,450 ",NaN, FXStreet
1029,"Stocks to buy: KEC International, TCS among top four picks by SMC Global for this week, eyes 14-18% upside at TP ",Stock Market News,Mint
1030,"Swiggy, Zomato Might Soon Deliver Alcohol In These States: Report ",NaN, NDTV
1031,Stock market holiday: Is Indian stock market shut tomorrow? ,Stock Market News,Mint
1032,Chennai Petroleum Shares Soar 14% As Stock Approaches Record Date For ₹55 Dividend ,NaN, Benzinga India
1033,What HCLTech CEO Vijayakumar said on linking variable pay to office attendance ,NaN, The Times of India
1034,"Infosys shares cross Rs 1,731 level to scale fresh 52-week high; analysts await Q1 results due on Thursday ",NaN, Zee Business
1035,Garden Reach Shipbuilders bags ₹840 crore order from National Centre for Polar and Ocean Research ,NaN, CNBCTV18
1036,Zomato makes a new high after 20% fee hike ,NaN, The Economic Times
1037,Gainers & Losers: Stocks that moved the most on July 16 ,NaN, Moneycontrol
1038,Exclusive: Crisis Hit BYJU’S Locked Out Of Over 100 Tuition Centres Over Unpaid Rent ,NaN, Inc42 Media
1039,Buy Varun Beverages; target of Rs 1900: Motilal Oswal ,NaN, Moneycontrol
1040,Ex Rolls-Royce Head Designer Stabbed To Death In $3 Million Germany Mansion ,NaN, NDTV
1041,Ex-billionaire loses control of Byju’s in blow to India's tech ambitions ,NaN, Deccan Herald
1042,"US Market: Dow Jones gains over 740 points, Russell 2000 small-cap index rise on rate cut bets ",Stock Market News,Mint
1043,IMF raises India’s FY25 growth forecast upward to 7% ,NaN, Hindustan Times
1044,SEBI mulls new asset class to fill gap between mutual funds and PMS ,NaN, Upstox
1045,"BREAKING: Royal Enfield Guerrilla 450 Launched At Rs 2,39,000 ",NaN, ZigWheels
1046,Tata Curvv SUV Debut On 19th July – Can It Break Creta’s Dominance? ,NaN, RushLane
1047,Indian banks have 'special plans' for offering higher deposit rates ,NaN, The Economic Times
1048,"Q1 results today: Asian Paints, LTIMindtree, Hathway Cable & Datacom among 22 companies to announce earnings on July 17 ",Company Business News,Mint
1049,"Gold retreats from all-time high amid profit-taking, potential downside seems limited ",NaN, FXStreet
1050,Zee board approves raising up to $239 mn through 10-yr foreign currency convertible bonds ,Company Business News,Mint
1051,"Tata Power sets ₹20,000 crore investment target for FY25, to drive renewable energy expansion ",Company Business News,Mint
1052,Hyundai Copies Tata Motors Success Mantra ,NaN, MotorOctane
1053,Gold prices reach all-time high in Hyderabad ,NaN, Telangana Today
1054,Is HDFC Life a new competitor to the mutual fund industry? ,Stock Market News,Mint
1055,"Indian aviation reports best-ever first half in 2024; IndiGo, Tata group airlines fly high; SpiceJet biggest loser ",NaN,Mint
1056,Fraud tag on loans only after hearing borrowers: RBI to banks ,NaN, The Economic Times
1057,"Jupiter Wagons eyes 20-fold jump in exports to ₹2,000 crore by FY26-end ",NaN, BusinessLine
1058,"Bajaj Auto Shares In Green As Net Profit Jumps 19% To ₹1,988 Cr ",NaN, Benzinga India
1059,PSU stock: Planning to buy IREDA shares? Know brokerages views on renewable energy stock ,NaN, Zee Business
1060,Hindustan Aeronautics: On a high-altitude orbit ,NaN, Moneycontrol
1061,These 6 energy stocks hit fresh 52-week highs; rallied up to 30% in a month ,NaN, The Economic Times
1062,"Dairy Dreams: Milky Mist eyes IPO at Rs 20,000 crore valuation months after WestBridge talks fall through ",NaN, Moneycontrol
1063,FIIs & DIIs collectively buy 6.66 per cent stake in this multibagger airline company: Stock under Rs 60 jumped 9.85 per cent post turnaround net profit in Q4FY24 ,NaN, Dalal Street Investment Journal
1064,Swiggy investor keeps valuation unchanged ahead of IPO as Zomato retains rich tag ,NaN, VCCircle
1065,Tech View: Nifty forms another Doji candle. Here’s how to trade on Thursday ,NaN, The Economic Times
1066,"Modern, Bold and Muscular: Škoda Auto India shares design glimpse of all-new compact SUV ",NaN, Skoda
1067,F&O trading: Sebi to discuss ways to tighten the screws on retail speculation ,Stock Market News,Mint
1068,"Adani Enterprises to buy 77.5% of Coredge.io parent for ₹20,000 per share ",NaN, CNBCTV18
1069,"NSE-listed media stock hits 7-year high after net profit rises 49% in Q1FY25, ₹7 dividend declared; Buy or sell? ",Stock Market News,Mint
1070,Multibagger stock under Rs 500: Rs 1 lakh investment grows to Rs 3 lakh in 1 yr! Q1 FY25 PAT zooms 42% ,NaN, ET Now
1071,"Watch: Deepinder Goyal in splits as comedian roasts Zomato’s platform fee, rain surge ",NaN, Hindustan Times
1072,"NCLT holds GVK Power and Infra bankrupt, admits insolvency petition by ICICI Bank - Bar & Bench ",NaN, Indian Legal News
1073,"Pace, Hero, ACME, JSW Win SECI’s 1.2 GW Solar Plus Storage Auction ",NaN, Mercom India
1074,Four Unexplored Indian Basins May Hold More Oil Than The Permian ,NaN, OilPrice.com
1075,IRDAI imposes Rs 2 crore penalty on Bajaj Finance for violating regulations ,NaN, Moneycontrol
1076,Camlin Founder Subhash Dandekar Passes Away At 86 ,NaN, News18
1077,Exclusive: Crisis-Hit BYJU’S Locked Out Of Over 100 Tuition Centres Over Unpaid Rent ,NaN, Inc42 Media
1078,"Stock Radar: Jio Financial, Angel One, Unichem Labs, HUL, Vedanta in focus on Tuesday ",NaN, Moneycontrol
